projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50,sigma_mps,ind_data,source
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,40.6,2.87,71.7,170,531,0.33,569,11.5,0.0374,0,692,6,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,49.3,2.87,71.7,170,531,0.33,569,11.5,0.0374,0,776,5,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,65.2,2.87,71.7,174,531,0.33,569,11.5,0.0374,0,916,7,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,65.4,2.87,71.7,179,531,0.33,569,11.5,0.0374,0,928,6,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,36.8,2.87,71.7,174,531,0.33,569,11.5,0.0374,0,656,8,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,26,2.87,71.7,156,386,0.33,496,15,0.0589,0,691,6,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,22.9,2.87,71.7,159,386,0.33,496,15,0.0589,0,629,7,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,41.6,2.87,71.7,156,386,0.33,496,15,0.0589,0,922,8,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,36.8,2.87,71.7,166,386,0.33,496,15,0.0589,0,853,5,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T721,22.7,2.87,71.7,153,386,0.33,496,15,0.0589,0,659,5,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T721,36.7,2.87,71.7,143,386,0.33,496,15,0.0589,0,839,7,Y,gallardy_17_tr7947
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T721,41,2.87,71.7,143,386,0.33,496,15,0.0589,0,893,6,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,36.7,2.87,71.7,143,386,0.33,496,15,0.0589,0,625,7,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,36.8,2.87,71.7,174,531,0.33,569,11.5,0.0374,0,656,8,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,36.8,2.87,71.7,166,386,0.33,496,15,0.0589,0,636,8,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,41,2.87,71.7,143,386,0.33,496,15,0.0589,0,660,7,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,41.6,2.87,71.7,156,386,0.33,496,15,0.0589,0,676,9,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,50.2,2.87,71.7,153,386,0.33,496,15,0.0589,0,754,8,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,62.1,2.87,71.7,156,386,0.33,496,15,0.0589,0,851,7,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,63.4,2.87,71.7,156,386,0.33,496,15,0.0589,0,867,9,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,65.3,2.87,71.7,146,386,0.33,496,15,0.0589,0,878,9,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,65.3,2.87,71.7,153,386,0.33,496,15,0.0589,0,856,10,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,74.7,2.87,71.7,153,386,0.33,496,15,0.0589,0,945,6,Y,gallardy_17_tr7947
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,76.4,2.87,71.7,149,386,0.33,496,15,0.0589,0,951,4,Y,gallardy_17_tr7947
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T721,22.7,2.87,71.7,153,386,0.33,496,15,0.0589,0,957,5,Y,gallardy_17_tr7947
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T751,22.9,2.87,71.7,159,386,0.33,496,15,0.0589,0,799,18,Y,gallardy_17_tr7947
CAL50FSP,frag,12.6,13.4,7.85,260,AA7056-T751,26,2.87,71.7,156,386,0.33,496,15,0.0589,0,1099,5,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T721,22.7,2.87,71.7,153,386,0.33,496,15,0.0589,0,405,7,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,22.9,2.87,71.7,159,386,0.33,496,15,0.0589,0,394,8,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,26,2.87,71.7,156,386,0.33,496,15,0.0589,0,456,6,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T721,36.7,2.87,71.7,143,386,0.33,496,15,0.0589,0,874,7,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,36.8,2.87,71.7,166,386,0.33,496,15,0.0589,0,756,11,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T721,41,2.87,71.7,143,386,0.33,496,15,0.0589,0,1029,8,Y,gallardy_17_tr7947
20MMFSP,frag,19.9,53.78,7.85,260,AA7056-T751,41.6,2.87,71.7,156,386,0.33,496,15,0.0589,0,1012,2,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,62.1,2.87,71.7,156,386,0.33,496,15,0.0589,0,800,6,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,63.4,2.87,71.7,156,386,0.33,496,15,0.0589,0,819,6,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T721,65.3,2.87,71.7,146,386,0.33,496,15,0.0589,0,808,3,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T721,65.3,2.87,71.7,153,386,0.33,496,15,0.0589,0,817,6,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,74.7,2.87,71.7,153,386,0.33,496,15,0.0589,0,874,8,Y,gallardy_17_tr7947
145MMBS41,AP,10.922,37.9,14.85,730,AA7056-T751,76.4,2.87,71.7,149,386,0.33,496,15,0.0589,0,894,6,Y,gallardy_17_tr7947
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,18.6,2.85,69.6,179,513,0.33,552,11,0.0579,0,631,9,Y,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,25.4,2.85,69.6,170,513,0.33,552,11,0.0579,0,1026,8,Y,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T711,25.4,2.85,69.6,170,513,0.33,552,11,0.0579,0,1061,13,Y,gallardy_12_tr5952
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T711,25.4,2.85,69.6,170,513,0.33,552,11,0.0579,0,461,6,Y,gallardy_12_tr5952
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T711,25.4,2.85,69.6,170,513,0.33,552,11,0.0579,0,448,12,Y,gallardy_12_tr5952
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T711,38,2.85,69.6,179,513,0.33,552,11,0.0579,0,835,6,Y,gallardy_12_tr5952
145MMBS41,AP,10.922,37.9,14.85,730,AA7085-T711,63.4,2.85,69.6,174,513,0.33,552,11,0.0579,0,838,5,Y,gallardy_12_tr5952
145MMBS41,AP,10.922,37.9,14.85,730,AA7085-T711,74,2.85,69.6,170,513,0.33,552,11,0.0579,0,937,5,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,12.6,2.85,69.6,183,513,0.33,552,11,0.0579,30,511,8,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.6,2.85,69.6,179,513,0.33,552,11,0.0579,0,598,4,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,18.6,2.85,69.6,179,513,0.33,552,11,0.0579,30,668,8,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,25.4,2.85,69.6,170,513,0.33,552,11,0.0579,0,722,8,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T711,38,2.85,69.6,179,513,0.33,552,11,0.0579,0,908,8,Y,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,38,2.85,69.6,179,513,0.33,552,11,0.0579,0,665,4,Y,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,56.5,2.85,69.6,166,513,0.33,552,11,0.0579,0,853,9,Y,gallardy_12_tr5952
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7085-T711,63.4,2.85,69.6,174,513,0.33,552,11,0.0579,0,907,9,Y,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,18.5,2.85,69.6,153,420,0.33,469,12,0.0539,0,573,8,Y,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,25.4,2.85,69.6,143,420,0.33,469,12,0.0539,0,982,5,Y,gallardy_12_tr5952
CAL50FSP,frag,12.6,13.4,7.85,260,AA7085-T721,25.5,2.85,69.6,149,420,0.33,469,12,0.0539,0,957,7,Y,gallardy_12_tr5952
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,25.4,2.85,69.6,143,420,0.33,469,12,0.0539,0,457,8,Y,gallardy_12_tr5952
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,25.5,2.85,69.6,149,420,0.33,469,12,0.0539,0,430,9,Y,gallardy_12_tr5952
20MMFSP,frag,19.9,53.78,7.85,260,AA7085-T721,38,2.85,69.6,143,420,0.33,469,12,0.0539,0,806,8,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,12.6,2.85,69.6,149,420,0.33,469,12,0.0539,30,481,8,Y,gallardy_12_tr5952
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7085-T721,18.5,2.85,69.6,153,420,0.33,469,12,0.0539,0,567,10,Y,gallardy_12_tr5952
