projectile,proj_type,calibre,proj_mass,proj_density,proj_hardness,Material,thickness,density,modulus,hardness,yield,PR,UTS,elongation,Ludwik-n,angle,v50
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T761,40.6,2.87,71.7,170.0,531.0,0.33,569.0,11.5,0.0374,0,939
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,37.8,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,651
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,40.6,2.87,71.7,170.0,531.0,0.33,569.0,11.5,0.0374,0,692
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,49.3,2.87,71.7,170.0,531.0,0.33,569.0,11.5,0.0374,0,776
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,65.2,2.87,71.7,174.0,531.0,0.33,569.0,11.5,0.0374,0,916
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,65.4,2.87,71.7,179.0,531.0,0.33,569.0,11.5,0.0374,0,928
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T761,36.8,2.87,71.7,174.0,531.0,0.33,569.0,11.5,0.0374,0,656
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,26.0,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,691
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,22.9,2.87,71.7,159.0,386.0,0.33,496.0,15.0,0.0589,0,629
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,41.6,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,922
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T751,36.8,2.87,71.7,166.0,386.0,0.33,496.0,15.0,0.0589,0,853
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T721,22.7,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,659
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T721,36.7,2.87,71.7,143.0,386.0,0.33,496.0,15.0,0.0589,0,839
CAL30APM2,AP,6.2484,5.3,7.85,570,AA7056-T721,41.0,2.87,71.7,143.0,386.0,0.33,496.0,15.0,0.0589,0,893
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,36.7,2.87,71.7,143.0,386.0,0.33,496.0,15.0,0.0589,0,625
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,36.8,2.87,71.7,166.0,386.0,0.33,496.0,15.0,0.0589,0,636
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,41.0,2.87,71.7,143.0,386.0,0.33,496.0,15.0,0.0589,0,660
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,41.6,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,676
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,50.2,2.87,71.7,153.0,386.0,0.33,496.0,15.0,0.0589,0,754
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,62.1,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,851
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,63.4,2.87,71.7,156.0,386.0,0.33,496.0,15.0,0.0589,0,867
CAL50APM2,AP,10.8839,25.9,7.85,630,AA7056-T721,65.3,2.87,71.7,146.0,386.0,0.33,496.0,15.0,0.0589,0,878
